"","Year","Team","ThreeOrTwo","FGA"
"1",1996,"Chicago Bulls","THREEPA",16.5
"2",1996,"Seattle SuperSonics","THREEPA",19.5
"3",1996,"Orlando Magic","THREEPA",20.1
"4",1996,"Phoenix Suns","THREEPA",12
"5",1996,"Boston Celtics","THREEPA",17.7
"6",1996,"San Antonio Spurs","THREEPA",16.1
"7",1996,"Los Angeles Lakers","THREEPA",16.6
"8",1996,"Charlotte Hornets","THREEPA",18.5
"9",1996,"Dallas Mavericks","THREEPA",24.9
"10",1996,"Washington Bullets","THREEPA",14.8
"11",1996,"Houston Rockets","THREEPA",21.5
"12",1996,"Utah Jazz","THREEPA",12.4
"13",1996,"Golden State Warriors","THREEPA",14.6
"14",1996,"Sacramento Kings","THREEPA",14.6
"15",1996,"Los Angeles Clippers","THREEPA",16.8
"16",1996,"Portland Trail Blazers","THREEPA",16.6
"17",1996,"Indiana Pacers","THREEPA",11.9
"18",1996,"Atlanta Hawks","THREEPA",19.5
"19",1996,"Minnesota Timberwolves","THREEPA",10.5
"20",1996,"Denver Nuggets","THREEPA",14
"21",1996,"Toronto Raptors","THREEPA",14.2
"22",1996,"New York Knicks","THREEPA",15.7
"23",1996,"Miami Heat","THREEPA",17.8
"24",1996,"Milwaukee Bucks","THREEPA",12.9
"25",1996,"Detroit Pistons","THREEPA",16.5
"26",1996,"Philadelphia 76ers","THREEPA",17.5
"27",1996,"New Jersey Nets","THREEPA",9.1
"28",1996,"Cleveland Cavaliers","THREEPA",19.3
"29",1996,"Vancouver Grizzlies","THREEPA",13.8
"30",1996,"League Average","THREEPA",16
"31",1997,"Chicago Bulls","THREEPA",17.1
"32",1997,"Utah Jazz","THREEPA",11
"33",1997,"Phoenix Suns","THREEPA",17.4
"34",1997,"Seattle SuperSonics","THREEPA",19.3
"35",1997,"Houston Rockets","THREEPA",22.4
"36",1997,"Boston Celtics","THREEPA",16.2
"37",1997,"Philadelphia 76ers","THREEPA",16.5
"38",1997,"Los Angeles Lakers","THREEPA",18.3
