Year,Player,GP,MIN,PTS,FGM,FGA,FGP,THREEPM,THREEPA,THREEPP,FTM,FTA,FTP,OREB,DREB,REB,AST,STL,BLK,TOV,EFF
1996,Michael Jordan,82,37.7,30.4,11.2,22.6,49.5,1.4,3.2,42.7,6.7,8,83.4,1.8,4.8,6.6,4.3,2.2,0.5,2.4,28.9
1996,Hakeem Olajuwon,72,38.8,26.9,10.7,20.8,51.4,0,0.2,21.4,5.5,7.6,72.4,2.4,8.4,10.9,3.6,1.6,2.9,3.4,30.2
1996,Shaquille O'Neal,54,36,26.6,11,19.1,57.3,0,0,50,4.6,9.5,48.7,3.4,7.7,11,2.9,0.6,2.1,2.9,27.3
1996,Karl Malone,82,38,25.7,9.6,18.5,51.9,0.2,0.5,40,6.2,8.6,72.3,2.1,7.7,9.8,4.2,1.7,0.7,2.4,28.3
1996,David Robinson,82,36.8,25,8.7,16.8,51.6,0,0.1,33.3,7.6,10,76.1,3.9,8.3,12.2,3,1.4,3.3,2.3,32
1996,Charles Barkley,71,37.1,23.2,8.2,16.3,50,0.7,2.5,28,6.2,8,77.7,3.4,8.1,11.6,3.7,1.6,0.8,3.1,27.9
1996,Alonzo Mourning,70,38.2,23.2,8,15.4,52.3,0.1,0.4,30,7,10.2,68.5,3.1,7.3,10.4,2.3,1,2.7,3.7,25.3
1996,Mitch Richmond,81,36.4,23.1,7.5,16.9,44.7,2.8,6.4,43.7,5.2,6.1,86.6,0.7,2.7,3.3,3.1,1.5,0.2,2.7,18.5
1996,Patrick Ewing,76,36.6,22.5,8.9,19.2,46.6,0.1,0.4,14.3,4.6,6.1,76.1,2.1,8.5,10.6,2.1,0.9,2.4,2.9,23.9
1996,Juwan Howard,81,40.7,22.1,9,18.5,48.9,0,0.2,30.8,3.9,5.3,74.9,2.3,5.8,8.1,4.4,0.8,0.5,3.7,21.5
1996,Anfernee Hardaway,82,36.8,21.7,7.6,14.8,51.3,1.1,3.5,31.4,5.4,7.1,76.7,1.6,2.7,4.3,7.1,2,0.5,2.8,24
1996,Glen Rice,79,39.8,21.6,7.7,16.4,47.1,2.2,5.1,42.4,4,4.8,83.7,1.1,3.7,4.8,2.9,1.2,0.2,2.1,19.2
1996,Cedric Ceballos,78,33.7,21.2,8.2,15.4,53,0.7,2.4,27.7,4.2,5.2,80.4,2.8,4.1,6.9,1.5,1.2,0.3,2.1,20.7
1996,Reggie Miller,76,34.5,21.1,6.6,14,47.3,2.2,5.4,41,5.7,6.6,86.3,0.5,2.3,2.8,3.3,1,0.2,2.5,17.7
1996,Vin Baker,82,40.5,21.1,8.5,17.4,48.9,0.1,0.6,20.8,3.9,5.8,67,3.2,6.6,9.9,2.6,0.8,1.1,2.6,22
1996,Clifford Robinson,78,38.2,21.1,7.1,16.7,42.3,2.3,6,37.8,4.6,6.9,66.4,1.6,4.1,5.7,2.4,1.1,0.9,2.5,16.7
1996,Larry Johnson,81,40.4,20.5,7.2,15.1,47.6,0.8,2.3,36.6,5.3,7,75.7,3.1,5.4,8.4,4.4,0.7,0.5,2.2,22.7
1996,Glenn Robinson,82,39.6,20.2,7.6,16.9,45.4,1.1,3.2,34.2,3.9,4.7,81.2,1.7,4.5,6.1,3.6,1.2,0.5,3.4,18.1
1996,Grant Hill,80,40.8,20.2,7.1,15.3,46.2,0.1,0.3,19.2,6.1,8.1,75.1,1.6,8.2,9.8,6.9,1.3,0.6,3.3,25.2
1996,Sean Elliott,77,37.7,20,6.8,14.6,46.6,2.1,5.1,41.1,4.2,5.5,77.1,0.9,4.2,5.1,2.7,0.9,0.4,2.6,17.5
1996,Allan Houston,82,37.5,19.7,6.9,15.2,45.3,2.3,5.5,42.7,3.6,4.4,82.3,0.7,3,3.7,3,0.7,0.2,2.8,15.5
1996,Shawn Kemp,79,33.3,19.6,6.7,11.9,56.1,0.1,0.2,41.7,6.2,8.4,74.2,3.5,7.9,11.4,2.2,1.2,1.6,4,24.7
1996,Isaiah Rider,75,34.6,19.6,7.5,16.1,46.4,1.4,3.7,37.1,3.3,3.9,83.8,1.3,2.8,4.1,2.8,0.6,0.3,2.7,15.6
1996,Jim Jackson,82,34.4,19.6,6.9,16,43.5,1.5,4.1,36.3,4.2,5.1,82.5,2.1,2.9,5,2.9,0.6,0.3,2.3,16
1996,Scottie Pippen,77,36.7,19.4,7.3,15.8,46.3,1.9,5.2,37.4,2.9,4.2,67.9,2,4.5,6.4,5.9,1.7,0.7,2.7,21.7
1996,Terrell Brandon,75,34.3,19.3,6.8,14.6,46.5,1.2,3.1,38.7,4.5,5.1,88.7,0.6,2.7,3.3,6.5,1.8,0.4,1.9,21
1996,Gary Payton,81,39,19.3,7.6,15.8,48.4,1.2,3.7,32.8,2.8,3.8,74.8,1.3,2.9,4.2,7.5,2.9,0.2,3.2,21.8
1996,Jerry Stackhouse,72,37.5,19.2,6.3,15.2,41.4,1.3,4.1,31.8,5.4,7.2,74.7,1.3,2.4,3.7,3.9,1.1,1.1,3.5,14.7
1996,Damon Stoudamire,70,40.9,19,6.9,16.1,42.6,1.9,4.8,39.5,3.4,4.2,79.7,0.8,3.2,4,9.3,1.4,0.3,3.8,20.1
1996,George McCloud,79,36,18.9,6.7,16.2,41.4,3.3,8.6,37.9,2.3,2.8,80.4,1.5,3.3,4.8,2.7,1.4,0.5,2.1,16.2
1997,Michael Jordan,82,37.9,29.6,11.2,23.1,48.6,1.4,3.6,37.4,5.9,7,83.3,1.4,4.5,5.9,4.3,1.7,0.5,2,27
1997,Karl Malone,82,36.6,27.4,10.5,19.2,55,0,0.2,0,6.4,8.4,75.5,2.4,7.5,9.9,4.5,1.4,0.6,2.8,30.2
1997,Glen Rice,79,42.5,26.8,9.1,19.2,47.7,2.6,5.6,47,5.9,6.8,86.7,0.8,3.2,4,2,0.9,0.3,2.2,20.9
1997,Mitch Richmond,81,38.5,25.9,8.9,19.5,45.4,2.5,5.9,42.8,5.6,6.6,86.1,0.7,3.2,3.9,4.2,1.5,0.3,2.9,21.3
1997,Latrell Sprewell,80,41.9,24.2,8.1,18.1,44.9,1.8,5.2,35.4,6.2,7.3,84.3,0.7,3.9,4.6,6.3,1.7,0.6,4,22.2
1997,Allen Iverson,76,40,23.5,8.2,19.8,41.6,2,6,34.1,5,7.2,70.2,1.5,2.6,4.1,7.5,2.1,0.3,4.4,19.3
1997,Hakeem Olajuwon,78,36.6,23.2,9.3,18.3,51,0.1,0.2,31.3,4.5,5.7,78.7,2.2,7,9.2,3,1.5,2.2,3.6,25.3
1997,Patrick Ewing,78,37,22.4,8.4,17.2,48.8,0,0.1,22.2,5.6,7.5,75.4,2.2,8.4,10.7,2,0.9,2.4,3.4,24.4
1997,Kendall Gill,82,39,21.8,7.9,17.7,44.3,0.9,2.7,33.6,5.2,6.5,79.7,2.2,3.9,6.1,4,1.9,0.6,2.7,20.5
1997,Gary Payton,82,39.2,21.8,8.6,18.1,47.6,1.5,4.6,31.3,3.1,4.3,71.5,1.3,3.3,4.6,7.1,2.4,0.2,2.6,22.7
1997,Reggie Miller,81,36.6,21.6,6.8,15.4,44.4,2.8,6.6,42.7,5.2,5.9,88,0.7,2.9,3.5,3.4,0.9,0.3,2,18.5
1997,Grant Hill,80,39.3,21.4,7.8,15.7,49.6,0.1,0.4,30.3,5.6,7.9,71.1,1.5,7.5,9,7.3,1.8,0.6,3.2,26.6
1997,Glenn Robinson,80,38.9,21.1,8.4,18,46.5,0.8,2.3,35,3.6,4.6,79.1,1.6,4.7,6.3,3.1,1.3,0.9,3.4,18.7
1997,Vin Baker,78,40.5,21,8.1,16,50.5,0.2,0.7,27.8,4.6,6.7,68.7,3.4,6.9,10.3,2.7,1,1.4,3.1,23.3
1997,Jerry Stackhouse,81,39.1,20.7,6.6,16.1,40.7,1.3,4.2,29.8,6.3,8.2,76.6,1.9,2.2,4.2,3.1,1.1,0.8,3.9,14.6
1997,Tom Gugliotta,81,38.7,20.6,7.3,16.5,44.2,0.3,1.1,25.8,5.7,7,82,2.3,6.4,8.7,4.1,1.6,1.1,3.6,22
