Team,Year,THREEP,THREEPA,THREEPP,TWOP,TWOPA,TWOPP
Atlanta Hawks,1980,0.158536585,0.914634146,0.001487805,39.6097561,84.7804878,0.005695122
Atlanta Hawks,1981,0.12195122,1,0.002670732,40.01219512,82.73170732,0.005902439
Atlanta Hawks,1982,0.341463415,1.56097561,0.002914634,38.80487805,81.07317073,0.005841463
Atlanta Hawks,1983,0.548780488,2.292682927,0.002646341,40.32926829,84.85365854,0.005792683
Atlanta Hawks,1984,0.280487805,1.292682927,0.003792683,39.1097561,81.74390244,0.005829268
Atlanta Hawks,1985,0.890243902,2.865853659,0.002426829,41.1097561,83.95121951,0.00597561
Atlanta Hawks,1986,0.402439024,2.024390244,0.003878049,41.63414634,83.69512195,0.006060976
Atlanta Hawks,1987,1.646341463,5.182926829,0.003670732,40.24390244,81.90243902,0.005987805
Atlanta Hawks,1988,1.036585366,3.43902439,0.003378049,40.95121951,83.17073171,0.006
Atlanta Hawks,1989,1.341463415,4.841463415,0.003682927,40.26829268,83.32926829,0.005890244
Atlanta Hawks,1990,1.512195122,5.012195122,0.00395122,40.15853659,80.58536585,0.006073171
Atlanta Hawks,1991,3.304878049,10.19512195,0.003817073,37.53658537,77.8902439,0.005878049
Atlanta Hawks,1992,2.56097561,8.182926829,0.004329268,40.02439024,82.98780488,0.005878049
Atlanta Hawks,1993,4.658536585,13.12195122,0.003939024,36.70731707,75.56097561,0.005926829
Atlanta Hawks,1994,3.268292683,10.12195122,0.004158537,36.32926829,75.7195122,0.005853659
Atlanta Hawks,1995,6.573170732,19.26829268,0.004329268,29.84146341,62.19512195,0.005853659
Atlanta Hawks,1996,6.902439024,19.45121951,0.004378049,29.5,61.82926829,0.005817073
Atlanta Hawks,1997,8.036585366,22.36585366,0.00404878,26.25609756,54.54878049,0.005865854
Atlanta Hawks,1998,4.109756098,12.3902439,0.00612,31.09756098,65.07317073,0.005829268
Atlanta Hawks,1999,3.94,12.88,0.003865854,26.84,62.32,0.00862
Atlanta Hawks,2000,3.146341463,9.926829268,0.004353659,33.43902439,73.08536585,0.005585366
Atlanta Hawks,2001,4.06097561,11.37804878,0.004317073,31.01219512,69.93902439,0.005402439
Atlanta Hawks,2002,5.158536585,14.56097561,0.004292683,30.2195122,66.04878049,0.005585366
Atlanta Hawks,2003,4.902439024,13.91463415,0.004085366,29.96341463,64.54878049,0.005658537
Atlanta Hawks,2004,5.109756098,15.23170732,0.003804878,29.3902439,64.3902439,0.005560976
Atlanta Hawks,2005,3.707317073,11.86585366,0.00447561,32.17073171,69.5,0.005646341
Atlanta Hawks,2006,5.170731707,14.07317073,0.004012195,30.75609756,65.14634146,0.005756098
Atlanta Hawks,2007,4.158536585,12.65853659,0.004341463,30.36585366,65.04878049,0.005695122
Atlanta Hawks,2008,4.682926829,13.14634146,0.004463415,31.59756098,66.75609756,0.005768293
Atlanta Hawks,2009,7.280487805,19.91463415,0.004390244,28.76829268,58.75609756,0.00597561
Atlanta Hawks,2010,6.390243902,17.74390244,0.004292683,32.40243902,65.19512195,0.006060976
Atlanta Hawks,2011,6.12195122,17.40243902,0.005606061,30.1097561,61,0.00602439
Atlanta Hawks,2012,7.454545455,20.15151515,0.00452439,29.34848485,60.87878788,0.00730303
Atlanta Hawks,2013,8.609756098,23.18292683,0.008086957,29,57.84146341,0.006109756
Atlanta Hawks,2014,9.282608696,24.95652174,0.004682927,29.04347826,57.97826087,0.010891304
Boston Celtics,1980,1.975609756,5.146341463,0.003292683,42.13414634,84.93902439,0.00604878
Boston Celtics,1981,0.792682927,2.93902439,0.003243902,42.87804878,83.63414634,0.006256098
Boston Celtics,1982,0.597560976,2.243902439,0.002560976,44,87.19512195,0.006158537
Boston Celtics,1983,0.475609756,2.268292683,0.002926829,44.7804878,89.76829268,0.006085366
Boston Celtics,1984,0.670731707,2.792682927,0.004341463,43.42682927,85.43902439,0.006195122
Boston Celtics,1985,1.341463415,3.768292683,0.004280488,44.03658537,85.56097561,0.006280488
Boston Celtics,1986,1.682926829,4.792682927,0.004463415,43.65853659,84.37804878,0.006304878
Boston Celtics,1987,2.524390244,6.890243902,0.004682927,41.92682927,79.09756098,0.006463415
Boston Celtics,1988,3.304878049,8.597560976,0.003073171,40.58536585,75.6097561,0.00654878
Boston Celtics,1989,0.951219512,3.768292683,0.003195122,41.97560976,83.34146341,0.006146341
Boston Celtics,1990,1.292682927,4.926829268,0.003841463,42.15853659,82.24390244,0.006256098
Boston Celtics,1991,1.329268293,4.219512195,0.003731707,43.73170732,83.75609756,0.006365854
Boston Celtics,1992,1.341463415,4.37804878,0.0035,41.86585366,83.37804878,0.006121951
Boston Celtics,1993,1.341463415,4.670731707,0.00352439,40.76829268,81.82926829,0.006073171
Boston Celtics,1994,1.682926829,5.817073171,0.004487805,38.96341463,80.24390244,0.005926829
Boston Celtics,1995,4.414634146,12,0.00452439,34.35365854,71.5,0.005853659
Boston Celtics,1996,6.573170732,17.7195122,0.004280488,32,66.93902439,0.005829268
Boston Celtics,1997,5.695121951,16.23170732,0.00404878,31.69512195,68.73170732,0.005621951
Boston Celtics,1998,5.06097561,15.23170732,0.0072,31.67073171,69.32926829,0.005573171
Boston Celtics,1999,5.46,15.16,0.004036585,30.86,68.12,0.00906
Boston Celtics,2000,5.085365854,15.36585366,0.004426829,32.15853659,68.53658537,0.005719512
Boston Celtics,2001,7.219512195,19.91463415,0.004378049,26.59756098,59.17073171,0.005487805
Boston Celtics,2002,8.524390244,23.73170732,0.004073171,26.25609756,58.35365854,0.005487805
Boston Celtics,2003,8.768292683,26.2804878,0.004219512,24.15853659,53.09756098,0.00554878
Boston Celtics,2004,6.743902439,19.5,0.004256098,27.92682927,58.73170732,0.005792683
Boston Celtics,2005,5.329268293,15.26829268,0.004414634,31.81707317,64.13414634,0.00604878
Boston Celtics,2006,5.695121951,15.73170732,0.00447561,30.29268293,61.36585366,0.00602439
Boston Celtics,2007,5.743902439,15.64634146,0.004646341,29.1097561,63.06097561,0.005634146
Boston Celtics,2008,7.268292683,19.07317073,0.004841463,29.14634146,57.58536585,0.006170732
Boston Celtics,2009,6.56097561,16.52439024,0.004243902,30.93902439,60.70731707,0.006219512
Boston Celtics,2010,6.085365854,17.47560976,0.00445122,30.97560976,59.2804878,0.006378049
Boston Celtics,2011,4.975609756,13.64634146,0.005560606,31.8902439,62.19512195,0.006256098
